Sample,Day,CellType,IP_Marker
SRR5817026_2242-1_Hepa_Day_102,102,Astrocyte,Hepa
SRR5817027_2242-1_Hepa_Day_120,120,Astrocyte,Hepa
SRR5817028_2242-1_Hepa_Day_137,137,Astrocyte,Hepa
SRR5817029_2242-1_Hepa_Day_172,172,Astrocyte,Hepa
SRR5817030_2242-1_Hepa_Day_193,193,Astrocyte,Hepa
SRR5817031_2242-1_Hepa_Day_224,224,Astrocyte,Hepa
SRR5817032_2242-1_Hepa_Day_295,295,Astrocyte,Hepa
SRR5817033_2242-1_Hepa_Day_377,377,Astrocyte,Hepa
SRR5817034_2242-1_Hepa_Day_450,450,Astrocyte,Hepa
SRR5817035_2242-1_Hepa_Day_495,495,Astrocyte,Hepa
SRR5817025_2242-1_Hepa_Day_96,96,Astrocyte,Hepa
SRR5817043_2242-1_Thy1_Day_100,100,Neuron,Thy1
SRR5817044_2242-1_Thy1_Day_160,160,Neuron,Thy1
SRR5817045_2242-1_Thy1_Day_160b,160,Neuron,Thy1
SRR5817046_2242-1_Thy1_Day_250,250,Neuron,Thy1
SRR5817036_8858-1_Hepa_Day_180,180,Astrocyte,Hepa
SRR5817041_8858-1_Thy1_Day_100,100,Neuron,Thy1
SRR5817042_8858-1_Thy1_Day_450,450,Neuron,Thy1
SRR5817039_8858-1_Thy1_Day_82,82,Neuron,Thy1
SRR5817040_8858-1_Thy1_Day_93,93,Neuron,Thy1
SRR5817037_8858-3_Hepa_Day_100,100,Astrocyte,Hepa
SRR5817038_8858-3_Hepa_Day_130,130,Astrocyte,Hepa
