"id","symbol","ensembl"
"chr1_100327059_100327979_+","AGL",""
"chr1_100335956_100343384_+","AGL",""
"chr1_100515465_100535241_+","HIAT1",""
"chr1_100525434_100527505_+","HIAT1",""
"chr1_100533533_100534142_+","HIAT1",""
"chr1_100568511_100588845_-","SASS6",""
"chr1_100617941_100634150_-","LRRC39",""
"chr1_100889778_100908552_+","CDC14A",""
"chr1_100905488_100950007_+","CDC14A",""
"chr1_101372408_101387397_+","SLC30A7",""
"chr1_101376619_101387397_+","SLC30A7",""
"chr1_10155519_10165802_+","UBE4B",""
"chr1_10155519_10182134_+","UBE4B",""
"chr1_10177517_10179671_+","UBE4B",""
"chr1_10186852_10190871_+","UBE4B",""
"chr1_10190558_10190871_+","UBE4B",""
"chr1_10204998_10211619_+","UBE4B",""
"chr1_10209242_10221344_+","UBE4B",""
"chr1_10292308_10332364_+","KIF1B",""
"chr1_10292308_10338186_+","KIF1B",""
"chr1_10292308_10342591_+","KIF1B",""
"chr1_10292308_10357304_+","KIF1B",""
"chr1_10292308_10412794_+","KIF1B",""
"chr1_10318551_10342591_+","KIF1B",""
"chr1_10321963_10328321_+","KIF1B",""
"chr1_10321963_10332364_+","KIF1B",""
"chr1_10321963_10408791_+","KIF1B",""
"chr1_10327438_10328321_+","KIF1B",""
"chr1_10331560_10335561_+","KIF1B",""
"chr1_10335486_10338186_+","KIF1B",""
"chr1_10352105_10357304_+","KIF1B",""
"chr1_103540174_103548528_-","COL11A1",""
"chr1_10380101_10384953_+","KIF1B",""
"chr1_104070317_104093695_+","RNPC3",""
"chr1_10407819_10408791_+","KIF1B",""
"chr1_104108057_104118162_+","AMY2B",""
"chr1_10423341_10435431_+","KIF1B",""
"chr1_10425158_10425706_+","KIF1B",""
"chr1_10463128_10464336_+","PGD",""
"chr1_10463128_10473308_+","PGD",""
"chr1_10500404_10502498_+","APITD1-CORT",""
"chr1_10527247_10529395_-","DFFA",""
"chr1_107866904_107867544_+","NTNG1",""
"chr1_108690901_108703915_-","SLC25A24",""
"chr1_108697605_108703915_-","SLC25A24",""
"chr1_108697605_108728576_-","SLC25A24",""
"chr1_108724563_108728576_-","SLC25A24",""
"chr1_109294879_109302707_+","STXBP3",""
"chr1_109336204_109342927_+","STXBP3",""
"chr1_109427897_109446876_+","GPSM2",""
"chr1_109439486_109446876_+","GPSM2",""
"chr1_109444412_109461411_+","GPSM2",""
"chr1_109482258_109486679_-","CLCC1",""
"chr1_109524355_109533951_-","WDR47",""
"chr1_109524355_109554340_-","WDR47",""
"chr1_109525231_109529302_-","WDR47",""
"chr1_109525231_109547337_-","WDR47",""
"chr1_109525231_109554340_-","WDR47",""
"chr1_109533876_109554340_-","WDR47",""
"chr1_109544846_109547337_-","WDR47",""
"chr1_109547214_109554340_-","WDR47",""
"chr1_109773500_109774408_+","SARS",""
"chr1_109859472_109860591_-","SORT1",""
"chr1_109869614_109888503_-","SORT1",""
"chr1_109878862_109888500_-","SORT1",""
