,SY5Y_exp1_D0,SY5Y_exp1_D2,SY5Y_exp1_D4,SY5Y_exp2_D0,SY5Y_exp2_D4,SY5Y_exp2_D8
chr12_49523283_49580241_-,6.264441776,8.414317058,5.886682631,2.12371514,1.667517904,1.156403655
chr14_20811306_20811436_-,2.318657021,2.959687105,1.506990754,0.900455219,1.004528858,0.83179912
chr19_23541232_23545527_-,0,0.440284032,0.282560766,0,0.602717315,0.628921286
chr7_133502078_133502297_+,0.386442837,0.146761344,0.235467305,0.91744494,0.562536161,0.568057936
chr11_33307959_33309057_+,1.403397671,1.247471424,0.965415951,0.441732749,0.441992698,0.365180102
chr15_64791492_64792365_+,0.406781933,0.36690336,0.376747688,0.424743028,0.381720966,0.324604535
chr1_117944808_117963271_+,1.362719477,1.58991456,0.941869221,0.492701912,0.642898469,0.284028968
chr1_117944808_117984947_+,0.691529287,0.953948736,0.494481341,0.220866375,0.301358657,0.284028968
chr5_95091100_95099324_+,0.54915561,0.782727168,0.44738788,0.322804701,0.381720966,0.284028968
chr1_1586823_1650894_-,0.162712773,0.097840896,0.094186922,0.15290749,0.180815194,0.263741185
chr9_88233898_88248289_-,0.142373677,0.146761344,0.164827114,0,0.120543463,0.223165618
chr8_131164982_131193126_-,0.162712773,0.440284032,0.91832249,0.15290749,0.482173852,0.223165618
chr9_113734353_113735838_-,0.406781933,0.342443136,0.329654227,0.135917769,0.200905772,0.223165618
chr1_155646339_155746272_-,0.162712773,0.293522688,0.423841149,0.169897211,0.180815194,0.223165618
chr2_61749746_61753656_-,0.36610374,0.660426048,0.47093461,0.084948606,0.120543463,0.202877834
chr17_65941525_65972074_+,0.54915561,0.635965824,0.494481341,0.271835538,0.28126808,0.182590051
chr18_9182380_9221997_+,0.467799224,0.36690336,0.353200958,0.203876653,0.28126808,0.182590051
chr3_196118684_196129890_-,0.79322477,0.635965824,0.541574802,0.203876653,0.200905772,0.182590051
chr4_144464662_144465125_+,0.54915561,0.660426048,0.376747688,0.203876653,0.28126808,0.182590051
chr1_225140372_225195246_+,0.650851094,0.440284032,0.44738788,0.084948606,0.14063404,0.182590051
chr10_32832228_32873232_+,0,0,0.047093461,0.101938327,0.100452886,0.162302267
chr7_24663285_24708279_+,0.528816514,0.24460224,0.188373844,0.237856096,0.361630389,0.162302267
chr6_4891947_4892613_+,0.42712103,0.342443136,0.211920575,0.288825259,0.180815194,0.162302267
chr1_117944808_117957453_+,0.630511997,0.587045376,0.400294419,0.254845817,0.180815194,0.142014484
chr12_109046048_109048186_-,0.223730063,0.171221568,0.117733653,0,0.080362309,0.142014484
chr2_24357989_24369956_+,0.081356387,0.12230112,0.117733653,0.050969163,0.040181154,0.142014484
chr2_113057426_113057606_+,0.12203458,0.073380672,0.070640192,0.084948606,0,0.142014484
chr20_30954187_30956926_+,1.240684897,0.831647616,0.824135568,0.424743028,0.441992698,0.142014484
chr5_137320946_137324004_-,0.345764643,0.538124928,0.235467305,0.186886932,0.180815194,0.142014484
chr7_99621042_99621930_+,0.752546577,0.538124928,0.423841149,0.407753307,0.180815194,0.142014484
chr11_34978931_34999729_+,0.101695483,0.073380672,0.047093461,0,0.060271731,0.142014484
chr7_8257935_8275635_-,0.467799224,0.293522688,0.211920575,0.186886932,0.241086926,0.142014484
