"id","symbol","ensembl"
"chr1_100617941_100638926_-","LRRC39",""
"chr1_100676250_100706440_+","BRI3P1",""
"chr1_10292308_10338186_+","KIF1B",""
"chr1_103400005_103484415_+","",""
"chr1_103487263_103496800_+","",""
"chr1_10351140_10357304_+","KIF1B",""
"chr1_104070317_104093695_+","RNPC3",""
"chr1_104070317_104095939_-","",""
"chr1_104070317_104095954_+","RNPC3",""
"chr1_107690691_107691461_+","NTNG1",""
"chr1_107866904_107867544_-","",""
"chr1_108690901_108703915_+","",""
"chr1_109241896_109242192_-","",""
"chr1_109242089_109242310_-","",""
"chr1_109242101_109242322_-","",""
"chr1_109242193_109242277_-","",""
"chr1_109427897_109446876_+","GPSM2",""
"chr1_109533876_109554340_-","WDR47",""
"chr1_109538202_109554340_+","",""
"chr1_109544846_109554340_+","",""
"chr1_109547214_109554340_-","WDR47",""
"chr1_109553538_109554340_-","WDR47",""
"chr1_109553538_109566143_-","WDR47",""
"chr1_110121826_110125187_+","GNAI3",""
"chr1_11130957_11137005_-","EXOSC10",""
"chr1_111492473_111495437_+","RP11-96K19.2",""
"chr1_111690264_111690675_+","CEPT1",""
"chr1_111690264_111703918_-","",""
"chr1_11184555_11193254_-","MTOR",""
"chr1_111998708_112002258_+","ATP5F1",""
"chr1_113098490_113159517_+","",""
"chr1_113119608_113140708_+","",""
"chr1_113119608_113143470_+","",""
"chr1_113134147_113159517_-","ST7L",""
"chr1_115005726_115007010_-","TRIM33",""
"chr1_115262200_115280693_-","CSDE1",""
"chr1_115267842_115280693_-","CSDE1",""
"chr1_117944808_117957453_-","",""
"chr1_117944808_117963271_+","MAN1A2",""
"chr1_117944808_117984947_-","",""
"chr1_117944808_118009049_-","",""
"chr1_118439455_118463047_-","GDAP2",""
"chr1_118449128_118461358_-","GDAP2",""
"chr1_118454616_118461358_+","",""
"chr1_12335882_12338095_-","",""
"chr1_14099573_14109326_+","PRDM2",""
"chr1_14104913_14109326_-","RP5-1177E19.2",""
"chr1_144916749_144917497_-","",""
"chr1_144994591_145021167_-","PDE4DIP",""
"chr1_147120048_147131890_+","",""
"chr1_149239868_149255307_+","RP11-403I13.4",""
"chr1_150198940_150201570_+","",""
"chr1_150258842_150259405_+","C1orf51",""
"chr1_150413399_150416853_+","RPRD2",""
"chr1_150413399_150418877_+","RPRD2",""
"chr1_150416727_150432793_-","",""
"chr1_150997087_151001420_-","",""
"chr1_151060666_151090615_+","GABPB2",""
"chr1_151065668_151090615_-","RP11-68I18.2",""
"chr1_151196721_151209239_-","",""
"chr1_151196724_151209239_-","",""
"chr1_151204147_151205179_-","",""
"chr1_151395873_151403317_-","POGZ",""
"chr1_151395873_151414681_+","RNY4P25",""
"chr1_151400299_151403317_-","POGZ",""
"chr1_151400299_151414681_-","POGZ",""
"chr1_151638409_151655921_+","SNX27",""
"chr1_151640948_151655921_+","SNX27",""
"chr1_153734046_153737539_+","INTS3",""
"chr1_153788749_153790647_+","",""
"chr1_154197560_154218851_-","",""
"chr1_154223517_154224129_+","UBAP2L",""
"chr1_155324264_155327540_+","",""
"chr1_155385535_155429689_-","ASH1L",""
"chr1_155408118_155408859_-","ASH1L",""
"chr1_155408118_155429689_-","ASH1L",""
"chr1_155447677_155452240_-","ASH1L",""
"chr1_155447677_155491409_-","ASH1L",""
"chr1_155640111_155649303_-","YY1AP1",""
"chr1_155644801_155649303_-","YY1AP1",""
"chr1_155644801_155650247_-","YY1AP1",""
"chr1_155679564_155699157_-","RP11-243J18.2",""
"chr1_155695173_155695810_-","",""
"chr1_155734791_155736500_-","GON4L",""
"chr1_155790397_155796819_-","GON4L",""
"chr1_155823067_155823597_-","GON4L",""
"chr1_155891166_155891709_+","",""
"chr1_155891166_155893478_+","",""
"chr1_155891166_155895634_+","",""
"chr1_156641777_156642166_-","NES",""
"chr1_160184546_160185166_-","",""
"chr1_160184766_160185049_+","PEA15",""
"chr1_160184782_160185063_-","",""
"chr1_160184784_160185063_-","",""
"chr1_160184784_160185121_-","",""
"chr1_160184813_160185143_-","",""
"chr1_160184816_160185049_+","PEA15",""
"chr1_161748034_161753886_+","ATF6",""
"chr1_161748034_161762117_+","ATF6",""
"chr1_161748034_161772062_+","ATF6",""
"chr1_161761198_161772062_+","ATF6",""
"chr1_161761198_161790951_+","ATF6",""
"chr1_161771842_161790951_+","ATF6",""
"chr1_161816239_161833102_+","ATF6",""
"chr1_164776779_164790863_-","",""
"chr1_164777747_164778140_-","",""
"chr1_167345266_167358998_+","POU2F1",""
"chr1_167734820_167742605_+","MPZL1",""
"chr1_168007609_168037701_+","DCAF6",""
"chr1_168032859_168037701_+","DCAF6",""
"chr1_168073715_168074132_-","GPR161",""
"chr1_169767998_169796340_+","C1orf112",""
"chr1_171481171_171491398_+","PRRC2C",""
"chr1_171481171_171519379_+","PRRC2C",""
"chr1_171492360_171502100_-","",""
"chr1_171492360_171506612_+","PRRC2C",""
"chr1_171492360_171556890_-","",""
"chr1_171493960_171502100_-","",""
"chr1_171501489_171501731_-","",""
"chr1_171504567_171530242_+","PRRC2C",""
"chr1_171519225_171546776_+","PRRC2C",""
"chr1_171537386_171544267_+","PRRC2C",""
"chr1_171537386_171556890_+","PRRC2C",""
"chr1_171548493_171556890_+","PRRC2C",""
