"id","symbol","ensembl"
"chr1_10032076_10041228_+","NMNAT1","ENSG00000173614"
"chr1_100335956_100343384_+","AGL","ENSG00000162688"
"chr1_100335956_100347247_+","AGL","ENSG00000162688"
"chr1_100340243_100350259_+","AGL","ENSG00000162688"
"chr1_100345479_100382287_+","AGL","ENSG00000162688"
"chr1_100515465_100535241_+","HIAT1","ENSG00000156875"
"chr1_100602438_100609699_+","TRMT13","ENSG00000122435"
"chr1_100889778_100908552_+","CDC14A","ENSG00000079335"
"chr1_101372408_101387397_+","SLC30A7","ENSG00000162695"
"chr1_101379219_101387397_+","SLC30A7","ENSG00000162695"
"chr1_101379219_101440458_+","SLC30A7","ENSG00000162695"
"chr1_10155519_10165802_+","UBE4B","ENSG00000130939"
"chr1_10177517_10195244_+","UBE4B","ENSG00000130939"
"chr1_10177517_10197263_+","UBE4B","ENSG00000130939"
"chr1_10195046_10197263_+","UBE4B","ENSG00000130939"
"chr1_10204998_10211619_+","UBE4B","ENSG00000130939"
"chr1_10207021_10221344_+","UBE4B","ENSG00000130939"
"chr1_10209242_10211619_+","UBE4B","ENSG00000130939"
"chr1_10209242_10221344_+","UBE4B","ENSG00000130939"
"chr1_102271632_102302581_-","OLFM3","ENSG00000118733"
"chr1_102290582_102302581_-","OLFM3","ENSG00000118733"
"chr1_10292308_10338186_+","KIF1B","ENSG00000054523"
"chr1_10318551_10320288_+","KIF1B","ENSG00000054523"
"chr1_10318551_10328321_+","KIF1B","ENSG00000054523"
"chr1_10318551_10338186_+","KIF1B","ENSG00000054523"
"chr1_10321963_10328321_+","KIF1B","ENSG00000054523"
"chr1_10321963_10333089_+","KIF1B","ENSG00000054523"
"chr1_10327438_10328321_+","KIF1B","ENSG00000054523"
"chr1_10327438_10342591_+","KIF1B","ENSG00000054523"
"chr1_10331560_10335561_+","KIF1B","ENSG00000054523"
"chr1_103444938_103455127_-","COL11A1","ENSG00000060718"
"chr1_10351140_10357304_+","KIF1B","ENSG00000054523"
"chr1_10380101_10384953_+","KIF1B","ENSG00000054523"
"chr1_10380101_10403345_+","KIF1B","ENSG00000054523"
"chr1_10380101_10436734_+","KIF1B","ENSG00000054523"
"chr1_10383942_10394696_+","KIF1B","ENSG00000054523"
"chr1_10405903_10408791_+","KIF1B","ENSG00000054523"
"chr1_104070317_104093695_+","RNPC3","ENSG00000185946"
"chr1_104070317_104095939_+","RNPC3","ENSG00000185946"
"chr1_104070317_104095954_+","RNPC3","ENSG00000185946"
"chr1_10407819_10408791_+","KIF1B","ENSG00000054523"
"chr1_10423341_10425706_+","KIF1B","ENSG00000054523"
"chr1_10463128_10464336_+","PGD","ENSG00000142657"
"chr1_10527247_10529395_-","DFFA","ENSG00000160049"
"chr1_107866904_107867544_+","NTNG1","ENSG00000162631"
"chr1_108226110_108247683_-","VAV3","ENSG00000134215"
"chr1_108690901_108703915_-","SLC25A24","ENSG00000085491"
"chr1_108724563_108728576_-","SLC25A24","ENSG00000085491"
"chr1_109192833_109200201_-","HENMT1","ENSG00000162639"
"chr1_109294879_109302707_+","STXBP3","ENSG00000116266"
"chr1_109325044_109337529_+","STXBP3","ENSG00000116266"
"chr1_109336204_109342927_+","STXBP3","ENSG00000116266"
"chr1_109338856_109340859_+","STXBP3","ENSG00000116266"
"chr1_109427897_109446876_+","GPSM2","ENSG00000121957"
"chr1_109427897_109466836_+","GPSM2","ENSG00000121957"
"chr1_109428129_109472597_+","GPSM2","ENSG00000121957"
"chr1_109439486_109446876_+","GPSM2","ENSG00000121957"
"chr1_109525231_109529302_-","WDR47","ENSG00000085433"
"chr1_109533876_109554340_-","WDR47","ENSG00000085433"
"chr1_109538202_109554340_-","WDR47","ENSG00000085433"
"chr1_109544846_109547337_-","WDR47","ENSG00000085433"
"chr1_109544846_109554340_-","WDR47","ENSG00000085433"
"chr1_109553538_109554340_-","WDR47","ENSG00000085433"
"chr1_109773500_109774408_+","SARS","ENSG00000031698"
"chr1_109867655_109869687_-","SORT1","ENSG00000134243"
"chr1_109883346_109888503_-","SORT1","ENSG00000134243"
"chr1_109884636_109888500_-","SORT1","ENSG00000134243"
"chr1_109896989_109912211_-","SORT1","ENSG00000134243"
"chr1_110765586_110768800_+","KCNC4","ENSG00000116396"
"chr1_11130957_11137005_-","EXOSC10","ENSG00000171824"
"chr1_11133991_11137005_-","EXOSC10","ENSG00000171824"
"chr1_111690264_111703918_+","CEPT1","ENSG00000134255"
"chr1_11181303_11193254_-","MTOR","ENSG00000198793"
"chr1_11184555_11193254_-","MTOR","ENSG00000198793"
"chr1_111996843_111996971_+","ATP5F1","ENSG00000116459"
"chr1_111998708_112002258_+","ATP5F1","ENSG00000116459"
"chr1_112269989_112270426_-","FAM212B","ENSG00000197852"
"chr1_112524243_112525420_-","KCND3","ENSG00000171385"
"chr1_113093223_113126748_-","ST7L","ENSG00000007341"
"chr1_113098490_113159517_-","ST7L","ENSG00000007341"
"chr1_113119608_113126748_-","ST7L","ENSG00000007341"
"chr1_113119608_113134225_-","ST7L","ENSG00000007341"
"chr1_113119608_113140708_-","ST7L","ENSG00000007341"
"chr1_113119608_113143470_-","ST7L","ENSG00000007341"
"chr1_113119608_113153625_-","ST7L","ENSG00000007341"
"chr1_113119608_113159517_-","ST7L","ENSG00000007341"
"chr1_113124614_113140708_-","ST7L","ENSG00000007341"
"chr1_113124614_113153625_-","ST7L","ENSG00000007341"
"chr1_113124614_113159517_-","ST7L","ENSG00000007341"
"chr1_113134147_113140708_-","ST7L","ENSG00000007341"
"chr1_113134147_113153625_-","ST7L","ENSG00000007341"
"chr1_113134147_113159517_-","ST7L","ENSG00000007341"
"chr1_113196220_113202401_+","CAPZA1","ENSG00000116489"
"chr1_113459800_113460666_-","SLC16A1","ENSG00000155380"
"chr1_113635828_113637377_+","LRIG2","ENSG00000198799"
"chr1_113655101_113662145_+","LRIG2","ENSG00000198799"
"chr1_114128009_114137182_+","MAGI3","ENSG00000081026"
"chr1_114232345_114254735_-","PHTF1","ENSG00000116793"
"chr1_114232345_114256060_-","PHTF1","ENSG00000116793"
