,SRR5817025_2242-1_Hepa_Day_96,SRR5817026_2242-1_Hepa_Day_102,SRR5817027_2242-1_Hepa_Day_120,SRR5817028_2242-1_Hepa_Day_137,SRR5817029_2242-1_Hepa_Day_172,SRR5817030_2242-1_Hepa_Day_193,SRR5817031_2242-1_Hepa_Day_224,SRR5817032_2242-1_Hepa_Day_295,SRR5817033_2242-1_Hepa_Day_377,SRR5817034_2242-1_Hepa_Day_450,SRR5817035_2242-1_Hepa_Day_495,SRR5817036_8858-1_Hepa_Day_180,SRR5817037_8858-3_Hepa_Day_100,SRR5817038_8858-3_Hepa_Day_130,SRR5817039_8858-1_Thy1_Day_82,SRR5817040_8858-1_Thy1_Day_93,SRR5817041_8858-1_Thy1_Day_100,SRR5817042_8858-1_Thy1_Day_450,SRR5817043_2242-1_Thy1_Day_100,SRR5817044_2242-1_Thy1_Day_160,SRR5817045_2242-1_Thy1_Day_160b,SRR5817046_2242-1_Thy1_Day_250
chr1_100617941_100638926_-,0,0,0,0,0,0,0,0,0.02936657,0,0,0,0,0,0,0.028011127,0,0.030149039,0.14160737,0,0,0
chr1_100676250_100706440_+,0.02129262,0,0.035479096,0,0,0,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_10292308_10338186_+,0,0,0,0.027445589,0,0.0262985,0,0,0,0,0.055788897,0,0,0,0,0,0,0,0,0,0,0.10264722
chr1_103400005_103484415_+,0,0,0,0,0,0,0,0,0.058733141,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_103487263_103496800_+,0.042585239,0.184342,0.017739548,0.027445589,0.022222874,0.262985003,0,0.022532783,0.02936657,0,0,0.085748265,0,0,0,0,0,0,0.047202457,0,0.092145876,0
chr1_10351140_10357304_+,0,0.02304275,0.035479096,0,0,0.0262985,0.119870505,0,0,0,0,0,0,0,0,0,0,0,0.094404913,0,0,0
chr1_104070317_104093695_+,0.02129262,0,0.141916384,0,0.200005862,0,0,0,0.02936657,0,0.083683346,0.257244796,0,0,0,0,0,0,0.047202457,0.167643835,0.122861168,0
chr1_104070317_104095939_-,0.042585239,0.16129925,0.141916384,0.027445589,0.888914944,0,0,0.022532783,0,0.094441307,0.055788897,0.042874133,0.148753055,0,0.215997685,0.08403338,0,0.120596156,0.047202457,0.838219173,0.675736421,0.205294441
chr1_104070317_104095954_+,0,0.06912825,0.035479096,0,0.133337242,0,0,0,0,0,0,0.042874133,0,0,0,0.08403338,0,0.030149039,0,0,0.092145876,0
chr1_107690691_107691461_+,0,0,0,0,0,0,0,0.022532783,0,0,0,0,0,0,0,0.168066761,0,0,0,0,0,0
