"","Id","gene","SY5Y_exp1_D0","SY5Y_exp1_D2","SY5Y_exp1_D4","SY5Y_exp2_D0","SY5Y_exp2_D4","SY5Y_exp2_D8"
"chr12_49523283_49580241_-","chr12_49523283_49580241","TUBA1B",6.26444177559338,8.41431705831562,5.88668263087903,2.12371513959825,1.66751790442101,1.15640365523371
"chr14_20811306_20811436_-","chr14_20811306_20811436","RPPH1",2.31865702083651,2.95968710481451,1.50699075350503,0.900455219189659,1.00452885808494,0.831799120431265
"chr19_23541232_23545527_-","chr19_23541232_23545527","ZNF91",0,0.440284032121166,0.282560766282193,0,0.602717314850967,0.628921286179737
"chr7_133502078_133502297_+","chr7_133502078_133502297","EXOC4",0.386442836806085,0.146761344040389,0.235467305235161,0.917444940306445,0.562536160527569,0.568057935904278
"chr11_33307959_33309057_+","chr11_33307959_33309057","HIPK3",1.40339767050631,1.2474714243433,0.96541595146416,0.441732749036436,0.441992697557376,0.36518010165275
"chr15_64791492_64792365_+","chr15_64791492_64792365","ZNF609",0.406781933480089,0.366903360100972,0.376747688376258,0.42474302791965,0.381720966072279,0.324604534802445
"chr1_117944808_117963271_+","chr1_117944808_117963271","MAN1A2",1.3627194771583,1.58991456043754,0.941869220940644,0.492701912386795,0.642898469174364,0.284028967952139
"chr1_117944808_117984947_+","chr1_117944808_117984947","MAN1A2",0.691529286916152,0.953948736262527,0.494481340993838,0.220866374518218,0.301358657425483,0.284028967952139
"chr5_95091100_95099324_+","chr5_95091100_95099324","RHOBTB3",0.549155610198121,0.782727168215407,0.447387879946806,0.322804701218934,0.381720966072279,0.284028967952139
"chr1_1586823_1650894_-","chr1_1586823_1650894","CDK11B",0.162712773392036,0.0978408960269258,0.0941869220940644,0.152907490051074,0.18081519445529,0.263741184526986
"chr9_88233898_88248289_-","chr9_88233898_88248289","AGTPBP1",0.142373676718031,0.146761344040389,0.164827113664613,0,0.120543462970193,0.223165617676681
"chr8_131164982_131193126_-","chr8_131164982_131193126","ASAP1",0.162712773392036,0.440284032121166,0.918322490417128,0.152907490051074,0.482173851880773,0.223165617676681
"chr9_113734353_113735838_-","chr9_113734353_113735838","LPAR1",0.406781933480089,0.34244313609424,0.329654227329226,0.135917768934288,0.200905771616989,0.223165617676681
"chr1_155646339_155746272_-","chr1_155646339_155746272","YY1AP1",0.162712773392036,0.293522688080777,0.42384114942329,0.16989721116786,0.18081519445529,0.223165617676681
"chr2_61749746_61753656_-","chr2_61749746_61753656","XPO1",0.36610374013208,0.660426048181749,0.470934610470322,0.0849486055839301,0.120543462970193,0.202877834251528
"chr17_65941525_65972074_+","chr17_65941525_65972074","BPTF",0.549155610198121,0.635965824175018,0.494481340993838,0.271835537868576,0.281268080263784,0.182590050826375
"chr18_9182380_9221997_+","chr18_9182380_9221997","ANKRD12",0.467799223502103,0.366903360100972,0.353200957852742,0.203876653401432,0.281268080263784,0.182590050826375
"chr3_196118684_196129890_-","chr3_196118684_196129890","UBXN7",0.793224770286174,0.635965824175018,0.54157480204087,0.203876653401432,0.200905771616989,0.182590050826375
"chr4_144464662_144465125_+","chr4_144464662_144465125","SMARCA5",0.549155610198121,0.660426048181749,0.376747688376258,0.203876653401432,0.281268080263784,0.182590050826375
"chr1_225140372_225195246_+","chr1_225140372_225195246","DNAH14",0.650851093568143,0.440284032121166,0.447387879946806,0.0849486055839301,0.140634040131892,0.182590050826375
"chr10_32832228_32873232_+","chr10_32832228_32873232","CCDC7",0,0,0.0470934610470322,0.101938326700716,0.100452885808494,0.162302267401222
"chr7_24663285_24708279_+","chr7_24663285_24708279","MPP6",0.528816513524116,0.244602240067315,0.188373844188129,0.237856095635004,0.36163038891058,0.162302267401222
"chr6_4891947_4892613_+","chr6_4891947_4892613","CDYL",0.427121030154094,0.34244313609424,0.211920574711645,0.288825258985362,0.18081519445529,0.162302267401222
"chr1_117944808_117957453_+","chr1_117944808_117957453","MAN1A2",0.630511996894139,0.587045376161555,0.400294418899774,0.25484581675179,0.18081519445529,0.14201448397607
"chr12_109046048_109048186_-","chr12_109046048_109048186","CORO1C",0.223730063414049,0.17122156804712,0.117733652617581,0,0.0803623086467956,0.14201448397607
"chr2_24357989_24369956_+","chr2_24357989_24369956","LOC375190",0.0813563866960179,0.122301120033657,0.117733652617581,0.0509691633503581,0.0401811543233978,0.14201448397607
"chr2_113057426_113057606_+","chr2_113057426_113057606","ZC3H6",0.122034580044027,0.0733806720201944,0.0706401915705483,0.0849486055839301,0,0.14201448397607
"chr20_30954187_30956926_+","chr20_30954187_30956926","ASXL1",1.24068489711427,0.831647616228869,0.824135568323064,0.42474302791965,0.441992697557376,0.14201448397607
"chr5_137320946_137324004_-","chr5_137320946_137324004","FAM13B",0.345764643458076,0.538124928148092,0.235467305235161,0.186886932284646,0.18081519445529,0.14201448397607
"chr7_99621042_99621930_+","chr7_99621042_99621930","ZKSCAN1",0.752546576938165,0.538124928148092,0.42384114942329,0.407753306802864,0.18081519445529,0.14201448397607
"chr11_34978931_34999729_+","chr11_34978931_34999729","PDHX",0.101695483370022,0.0733806720201944,0.0470934610470322,0,0.0602717314850967,0.14201448397607
"chr7_8257935_8275635_-","chr7_8257935_8275635","ICA1",0.467799223502103,0.293522688080777,0.211920574711645,0.186886932284646,0.241086925940387,0.14201448397607
"chr7_127013396_127017383_-","chr7_127013396_127017383","ZNF800",0.569494706872125,0.709346496195212,0.588668263087903,0.203876653401432,0.301358657425483,0.14201448397607
"chr1_1601103_1666274_-","chr1_1601103_1666274","SLC35E2B",0.549155610198121,0.464744256127898,0.353200957852742,0.135917768934288,0.120543462970193,0.121726700550917
"chr15_41961026_41962156_+","chr15_41961026_41962156","MGA",0.488138320176107,0.660426048181749,0.42384114942329,0.237856095635004,0.200905771616989,0.121726700550917
"chr2_61749746_61761038_-","chr2_61749746_61761038","XPO1",0.58983380354613,0.440284032121166,0.400294418899774,0.152907490051074,0.160724617293591,0.121726700550917
"chr2_73828322_73899622_+","chr2_73828322_73899622","ALMS1",0,0,0,0,0,0.121726700550917
"chr7_99090663_99092254_-","chr7_99090663_99092254","ZNF394",0.244069160088054,0.440284032121166,0.282560766282193,0.152907490051074,0.281268080263784,0.121726700550917
"chr3_138289160_138290198_-","chr3_138289160_138290198","CEP70",0.0610172900220134,0.146761344040389,0.259014035758677,0,0.100452885808494,0.121726700550917
"chr2_72945232_72960247_-","chr2_72945232_72960247","EXOC6B",0.0610172900220134,0.366903360100972,0.235467305235161,0.0679588844671441,0.140634040131892,0.121726700550917
"chr1_225140372_225161855_+","chr1_225140372_225161855","DNAH14",0.671190190242148,0.513664704141361,0.188373844188129,0.203876653401432,0.220996348778688,0.121726700550917
"chr10_112723883_112745523_+","chr10_112723883_112745523","SHOC2",0.0406781933480089,0.0733806720201944,0.117733652617581,0.0509691633503581,0,0.121726700550917
"chr14_89192885_89221015_-","chr14_89192885_89221015","EML5",0.77288567361217,0.635965824175018,0.894775759893612,0.288825258985362,0.321449234587182,0.121726700550917
"chr8_131370263_131374017_-","chr8_131370263_131374017","ASAP1",0.549155610198121,0.34244313609424,0.447387879946806,0.0679588844671441,0.0803623086467956,0.121726700550917
"chr14_99924616_99932150_-","chr14_99924616_99932150","SETD3",0.77288567361217,0.733806720201944,0.376747688376258,0.25484581675179,0.341539811748881,0.101438917125764
"chr17_20107646_20109225_+","chr17_20107646_20109225","SPECC1",0.467799223502103,0.293522688080777,0.306107496805709,0.186886932284646,0.160724617293591,0.101438917125764
"chr5_122881111_122893258_+","chr5_122881111_122893258","CSNK1G3",0.223730063414049,0.366903360100972,0.211920574711645,0.152907490051074,0.0803623086467956,0.101438917125764
"chr8_131164982_131181313_-","chr8_131164982_131181313","ASAP1",0.203390966740045,0.391363584107703,0.211920574711645,0,0.140634040131892,0.101438917125764
"chr4_39739040_39776553_+","chr4_39739040_39776553","UBE2K",0.122034580044027,0,0,0.101938326700716,0.100452885808494,0.101438917125764
"chr9_103261047_103279053_+","chr9_103261047_103279053","TMEFF1",0.671190190242148,0.489204480134629,0.518028071517354,0.135917768934288,0.160724617293591,0.101438917125764
"chr1_7837220_7838229_+","chr1_7837220_7838229","VAMP3",0.162712773392036,0.0978408960269258,0.0941869220940644,0.033979442233572,0.0401811543233978,0.101438917125764
