Id,FBN,H9_ESC
chr1_100327059_100327979,0.011718459,0
chr1_100335956_100343384,0.023436918,0
chr1_100515465_100535241,0,0.0123918
chr1_100525434_100527505,0.011718459,0
chr1_100533533_100534142,0.011718459,0
chr1_100568511_100588845,0.011718459,0
chr1_100617941_100634150,0.011718459,0
chr1_100889778_100908552,0.070310753,0
chr1_100905488_100950007,0.011718459,0
chr1_101372408_101387397,0.117184588,0.0123918
chr1_101376619_101387397,0,0.0123918
chr1_10155519_10165802,0.035155376,0
chr1_10155519_10182134,0.011718459,0
chr1_10177517_10179671,0.011718459,0
chr1_10186852_10190871,0,0.0123918
chr1_10190558_10190871,0,0.0123918
chr1_10204998_10211619,0.011718459,0
chr1_10209242_10221344,0.011718459,0
chr1_10292308_10332364,0.011718459,0
chr1_10292308_10338186,0.011718459,0
chr1_10292308_10342591,0.011718459,0
chr1_10292308_10357304,0.011718459,0
chr1_10292308_10412794,0.011718459,0
chr1_10318551_10342591,0.011718459,0
chr1_10321963_10328321,0.035155376,0
chr1_10321963_10332364,0.011718459,0
chr1_10321963_10408791,0.011718459,0
chr1_10327438_10328321,0.023436918,0
chr1_10331560_10335561,0.035155376,0
chr1_10335486_10338186,0.011718459,0
chr1_10352105_10357304,0.011718459,0
chr1_103540174_103548528,0.011718459,0
chr1_10380101_10384953,0.023436918,0
chr1_104070317_104093695,0.011718459,0
chr1_10407819_10408791,0.082029211,0
chr1_104108057_104118162,0.082029211,0
chr1_10423341_10435431,0.023436918,0
chr1_10425158_10425706,0.035155376,0
chr1_10463128_10464336,0,0.0123918
chr1_10463128_10473308,0.023436918,0
chr1_10500404_10502498,0.070310753,0
chr1_10527247_10529395,0.011718459,0
chr1_107866904_107867544,0,0.0247836
chr1_108690901_108703915,0.011718459,0.0247836
chr1_108697605_108703915,0.011718459,0
chr1_108697605_108728576,0.011718459,0
chr1_108724563_108728576,0.011718459,0
chr1_109294879_109302707,0.023436918,0
chr1_109336204_109342927,0.011718459,0
chr1_109427897_109446876,0.023436918,0
chr1_109439486_109446876,0.023436918,0
chr1_109444412_109461411,0,0.0123918
chr1_109482258_109486679,0,0.0123918
chr1_109524355_109533951,0.011718459,0
chr1_109524355_109554340,0,0.0123918
chr1_109525231_109529302,0.011718459,0
chr1_109525231_109547337,0.011718459,0
chr1_109525231_109554340,0.023436918,0
chr1_109533876_109554340,0.011718459,0
chr1_109544846_109547337,0.023436918,0
chr1_109547214_109554340,0.011718459,0
chr1_109773500_109774408,0.011718459,0
chr1_109859472_109860591,0.011718459,0
chr1_109869614_109888503,0.011718459,0
chr1_109878862_109888500,0.011718459,0
chr1_109910030_109912211,0.011718459,0
chr1_109952550_109953735,0.023436918,0
chr1_109952550_109957985,0,0.0247836
chr1_11130957_11137005,0.046873835,0
chr1_11133991_11134383,0.035155376,0
chr1_11181303_11182183,0,0.0123918
chr1_11181303_11193254,0.011718459,0
chr1_11184555_11193254,0.011718459,0
chr1_111996833_111996978,0.011718459,0
chr1_111998708_111999377,0.011718459,0
chr1_111998708_112002258,0.011718459,0
chr1_11204705_11206848,0.011718459,0
chr1_112319648_112323413,0.011718459,0
chr1_11307682_11308151,0.011718459,0
chr1_113084573_113126748,0.011718459,0
chr1_113098490_113159517,0.011718459,0
chr1_113119608_113121039,0,0.0371754
chr1_113119608_113134225,0.011718459,0
chr1_113119608_113159517,0.011718459,0
chr1_113124614_113140708,0.023436918,0.0123918
chr1_113140593_113159517,0.023436918,0
chr1_113153463_113159517,0.011718459,0
chr1_113196220_113202401,0.058592294,0.0247836
chr1_113196220_113209767,0.035155376,0
chr1_113633940_113650379,0,0.0247836
chr1_113633940_113659058,0,0.0123918
