"id","symbol","ensembl"
"chr12_49523283_49580241_-","TUBA1B",""
"chr14_20811306_20811436_-","RPPH1",""
"chr19_23541232_23545527_-","ZNF91",""
"chr7_133502078_133502297_+","EXOC4",""
"chr11_33307959_33309057_+","HIPK3",""
"chr15_64791492_64792365_+","ZNF609",""
"chr1_117944808_117963271_+","MAN1A2",""
"chr1_117944808_117984947_+","MAN1A2",""
"chr5_95091100_95099324_+","RHOBTB3",""
"chr1_1586823_1650894_-","CDK11B",""
"chr9_88233898_88248289_-","AGTPBP1",""
"chr8_131164982_131193126_-","ASAP1",""
"chr9_113734353_113735838_-","LPAR1",""
"chr1_155646339_155746272_-","YY1AP1",""
"chr2_61749746_61753656_-","XPO1",""
"chr17_65941525_65972074_+","BPTF",""
"chr18_9182380_9221997_+","ANKRD12",""
"chr3_196118684_196129890_-","UBXN7",""
"chr4_144464662_144465125_+","SMARCA5",""
"chr1_225140372_225195246_+","DNAH14",""
"chr10_32832228_32873232_+","CCDC7",""
"chr7_24663285_24708279_+","MPP6",""
"chr6_4891947_4892613_+","CDYL",""
"chr1_117944808_117957453_+","MAN1A2",""
"chr12_109046048_109048186_-","CORO1C",""
"chr2_24357989_24369956_+","LOC375190",""
"chr2_113057426_113057606_+","ZC3H6",""
"chr20_30954187_30956926_+","ASXL1",""
"chr5_137320946_137324004_-","FAM13B",""
"chr7_99621042_99621930_+","ZKSCAN1",""
"chr11_34978931_34999729_+","PDHX",""
"chr7_8257935_8275635_-","ICA1",""
"chr7_127013396_127017383_-","ZNF800",""
"chr1_1601103_1666274_-","SLC35E2B",""
"chr15_41961026_41962156_+","MGA",""
"chr2_61749746_61761038_-","XPO1",""
"chr2_73828322_73899622_+","ALMS1",""
"chr7_99090663_99092254_-","ZNF394",""
"chr3_138289160_138290198_-","CEP70",""
"chr2_72945232_72960247_-","EXOC6B",""
"chr1_225140372_225161855_+","DNAH14",""
"chr10_112723883_112745523_+","SHOC2",""
"chr14_89192885_89221015_-","EML5",""
"chr8_131370263_131374017_-","ASAP1",""
"chr14_99924616_99932150_-","SETD3",""
"chr17_20107646_20109225_+","SPECC1",""
"chr5_122881111_122893258_+","CSNK1G3",""
"chr8_131164982_131181313_-","ASAP1",""
"chr4_39739040_39776553_+","UBE2K",""
"chr9_103261047_103279053_+","TMEFF1",""
"chr1_7837220_7838229_+","VAMP3",""
"chr17_57808782_57816308_+","VMP1",""
"chr1_67356837_67371058_-","WDR78",""
"chr2_24181171_24207701_+","UBXN2A",""
"chr2_61709515_61717911_-","XPO1",""
"chr18_12999420_13030607_+","CEP192",""
"chrX_102841577_102863601_+","TCEAL4",""
"chr10_5741488_5756170_+","FAM208B",""
"chr12_111991962_111993723_-","ATXN2",""
"chr13_33091994_33101669_-","N4BP2L2",""
"chr15_41988273_41991357_+","MGA",""
"chr2_58449077_58459247_-","FANCL",""
"chr21_30693542_30702014_+","BACH1",""
"chr4_73950966_73958017_-","ANKRD17",""
"chr7_7826419_7841374_+","LOC729852",""
"chr7_139415731_139416814_-","HIPK2",""
"chr8_37623044_37623873_+","PROSC",""
"chr9_33971649_33973235_-","UBAP2",""
"chrX_77270159_77275895_+","ATP7A",""
"chr1_65830318_65831879_+","DNAJC6",""
"chr1_21097423_21100103_-","HP1BP3",""
"chr5_78734833_78752841_-","HOMER1",""
"chr10_116879949_116889297_+","ATRNL1",""
"chr11_70265852_70265962_+","CTTN",""
"chr14_89178615_89181539_-","EML5",""
"chr14_89220856_89221015_-","EML5",""
"chr6_69723930_69785930_+","BAI3",""
"chr9_86293356_86301070_-","UBQLN1",""
"chr9_87356807_87367000_+","NTRK2",""
"chr11_65272658_65272846_+","MALAT1",""
"chr16_69404386_69406258_-","TERF2",""
"chr17_4850076_4851635_-","PFN1",""
"chr3_25654025_25654148_-","TOP2B",""
"chr6_158733083_158735300_+","TCONS_00011401",""
"chr6_73005640_73043538_+","RIMS1",""
"chr7_24663282_24708279_+","MPP6",""
"chr7_69647096_69647214_-","AUTS2",""
"chr9_88190230_88248289_-","AGTPBP1",""
"chrX_73071866_73072109_+","TCONS_00017433",""
"chrX_73071958_73072109_+","TCONS_00017433",""
"chr1_1158624_1159348_-","SDF4",""
"chr1_243708812_243736350_-","AKT3",""
"chr12_70193989_70195501_+","RAB3IP",""
"chr15_56680670_56687032_+","TEX9",""
"chr15_59204762_59209198_-","SLTM",""
"chr15_83819967_83832827_-","HDGFRP3",""
"chr17_65941525_65944422_+","BPTF",""
"chr18_8718422_8720494_+","SOGA2",""
"chr18_33606863_33613800_-","RPRD1A",""
"chr19_5604594_5604947_-","SAFB2",""
"chr19_30476130_30477324_+","URI1",""
"chr2_45925080_45928663_+","PRKCE",""
"chr2_99786013_99787892_-","MITD1",""
"chr2_148730308_148733544_-","ORC4",""
"chr3_27490142_27493989_-","SLC4A7",""
"chr3_157839892_157841780_+","RSRC1",""
"chr3_169854207_169867032_-","PHC3",""
"chr4_52729603_52744020_+","DCUN1D4",""
"chr4_129913322_129925031_-","SCLT1",""
"chr4_153332455_153333681_-","FBXW7",""
"chr5_138699448_138700432_+","PAIP2",""
"chr7_128655033_128658211_-","TNPO3",""
"chr7_155457869_155473602_+","RBM33",""
"chr9_138773479_138774924_-","CAMSAP1",""
"chr6_16586011_16658132_-","ATXN1",""
"chr8_141874411_141900868_-","PTK2",""
"chr14_102661275_102676199_+","WDR20",""
"chr10_49609655_49618211_+","MAPK8",""
"chr7_33185854_33217203_+","BBS9",""
"chr8_141856359_141900868_-","PTK2",""
"chr13_26974590_26975761_+","CDK8",""
"chr5_170610199_170632616_+","RANBP17",""
"chr9_128677965_128697886_+","PBX3",""
"chr8_18656805_18662408_-","PSD3",""
"chr1_92798948_92811471_+","RPAP2",""
"chr3_138289160_138291774_-","CEP70",""
"chr16_4382216_4383520_+","GLIS2",""
"chr14_104245082_104263855_-","PPP1R13B",""
"chr2_24181171_24199945_+","UBXN2A",""
"chr21_38792601_38802702_+","DYRK1A",""
"chr20_2944918_2945848_+","PTPRA",""
"chr7_101870647_101870949_+","CUX1",""
"chr4_151388825_151412187_-","LRBA",""
"chr3_169831148_169840532_-","PHC3",""
"chr9_88211277_88248289_-","AGTPBP1",""
"chrX_44383248_44386611_-","FUNDC1",""
"chr22_24698163_24709434_+","SPECC1L",""
"chr11_76174865_76183884_+","C11orf30",""
"chr5_92889467_92899169_-","FLJ42709",""
"chr2_135075100_135076310_+","MGAT5",""
"chr2_120885264_120932580_+","EPB41L5",""
"chr8_90734243_90737869_-","RP11-37B2.1",""
"chr20_34317234_34320057_-","RBM39",""
"chr1_33760538_33760906_+","ZNF362",""
"chr6_108225833_108246136_-","SEC63",""
"chr1_35824526_35827390_+","ZMYM4",""
"chr10_103557737_103573363_-","MGEA5",""
"chr11_8457041_8486369_-","STK33",""
"chr14_89192885_89212627_-","EML5",""
"chr15_93540187_93545547_+","CHD2",""
"chr17_71231615_71233134_+","C17orf80",""
"chr18_9195549_9221997_+","ANKRD12",""
"chr2_55252222_55255356_-","RTN4",""
"chr4_77055328_77065626_-","NUP54",""
"chr4_148778704_148803083_+","ARHGAP10",""
"chr4_184922478_184932576_+","STOX2",""
"chr5_80911292_80946158_-","SSBP2",""
"chr6_18236683_18258636_-","DEK",""
"chr9_17330630_17342442_+","CNTLN",""
"chr9_88200378_88248289_-","AGTPBP1",""
"chr9_138741983_138758382_-","CAMSAP1",""
"chr10_27311487_27337908_-","ANKRD26",""
"chr11_65267237_65267452_-","TCONS_00019666",""
"chr11_65267248_65267359_+","MALAT1",""
"chr11_65267679_65267795_+","MALAT1",""
"chr11_65273169_65273273_-","TCONS_00019666",""
"chr13_103045074_103045203_-","FGF14",""
"chr14_20811383_20811529_-","RPPH1",""
"chr14_50292585_50298079_-","NEMF",""
"chr15_74892842_74893754_+","CLK3",""
"chr15_90814793_90814915_-","RP11-697E2.6",""
"chr1_19595066_19630880_-","AKR7L",""
"chr1_247319708_247323115_-","ZNF124",""
"chr1_52975268_52992045_-","ZCCHC11",""
"chr20_42089556_42089678_+","SRSF6",""
"chr20_47988878_47991529_-","KCNB1",""
"chr2_44021596_44032385_+","DYNC2LI1",""
"chr7_30590252_30614497_-","AC005154.6",""
"chr7_8196746_8275635_-","ICA1",""
"chr8_71126138_71128999_-","NCOA2",""
"chr9_15474015_15474140_-","PSIP1",""
"chr9_33264274_33264399_-","BAG1",""
"chr9_87317074_87325706_+","NTRK2",""
"chrX_21534603_21581570_+","CNKSR2",""
"chrX_73072006_73072109_+","TCONS_00017433",""
"chr1_9991949_9994918_-","LZIC",""
"chr1_21083659_21100103_-","HP1BP3",""
"chr1_41536267_41541123_-","SCMH1",""
"chr1_100889778_100908552_+","CDC14A",""
"chr1_205585606_205593019_-","ELK4",""
"chr1_245018860_245019265_-","HNRNPU",""
"chr10_105767935_105778666_+","SLK",""
"chr10_112356156_112358048_+","SMC3",""
"chr11_14880589_14882912_+","PDE3B",""
"chr11_18312989_18314523_-","HPS5",""
"chr11_33127113_33127610_-","CSTF3",""
"chr11_77409532_77413540_-","RSF1",""
"chr12_42604157_42604482_-","YAF2",""
"chr12_69644909_69656342_+","CPSF6",""
"chr12_116668338_116675510_-","MED13L",""
"chr15_60734615_60737990_-","NARG2",""
"chr17_78865520_78867665_+","RPTOR",""
"chr19_16790795_16793319_+","TMEM38A",""
"chr19_18650181_18650530_-","FKBP8",""
"chr19_47767860_47768203_+","CCDC9",""
"chr2_37543380_37544322_-","PRKD3",""
"chr2_40655613_40657444_-","SLC8A1",""
"chr2_45773871_45789895_-","SRBD1",""
"chr2_148653870_148657467_+","ACVR2A",""
"chr2_202625604_202626541_-","ALS2",""
"chr2_215632206_215646233_-","BARD1",""
"chr22_46125305_46136418_+","ATXN10",""
"chr3_47139445_47147610_-","SETD2",""
"chr3_56600622_56601081_+","CCDC66",""
"chr3_129599152_129599402_-","TMCC1",""
"chr4_1902353_1936989_+","WHSC1",""
"chr4_39328183_39329376_-","RFC1",""
"chr4_87967318_87968746_+","AFF1",""
"chr4_110412483_110416012_+","SEC24B",""
"chr5_56160561_56161804_+","MAP3K1",""
"chr5_65284463_65310553_+","ERBB2IP",""
"chr6_13632602_13644961_-","RANBP9",""
"chr6_155095123_155116273_+","SCAF8",""
"chr6_159004986_159010814_+","TMEM181",""
"chr7_24663285_24690331_+","MPP6",""
"chr7_24663285_24720139_+","MPP6",""
"chr7_40027198_40041630_+","CDK13",""
"chr7_97820040_97823884_+","LMTK2",""
"chr7_128845044_128846428_+","SMO",""
"chr7_131071879_131084192_+","MKLN1",""
"chr9_33953283_33963789_-","UBAP2",""
"chr9_134381501_134381840_+","POMT1",""
"chr17_53478830_53481229_-","MMD",""
"chr7_77210744_77221573_+","PTPN12",""
"chr5_72370569_72373320_+","FCHO2",""
"chr12_83250789_83251359_+","TMTC2",""
"chr19_5047487_5082515_+","KDM4B",""
"chr16_53907698_53913899_+","FTO",""
"chr10_111883775_111890244_+","ADD3",""
"chr17_38562636_38563194_-","TOP2A",""
"chr1_52959283_52975384_-","ZCCHC11",""
"chr7_127344893_127361454_+","SND1",""
"chr15_59204762_59205895_-","SLTM",""
"chr5_151169884_151170623_+","G3BP1",""
"chr2_201721405_201721708_-","CLK1",""
"chr1_219366424_219392054_+","LYPLAL1",""
"chr9_138741983_138774924_-","CAMSAP1",""
"chr8_100286426_100287482_+","VPS13B",""
"chrX_53641495_53641706_-","HUWE1",""
"chr4_88983058_88987031_+","PKD2",""
"chr7_72873866_72884813_-","BAZ1B",""
