"id","symbol","ensembl"
"chr1_10032076_10041228_+","NMNAT1",""
"chr1_100335956_100343384_+","AGL",""
"chr1_100335956_100347247_+","AGL",""
"chr1_100340243_100350259_+","AGL",""
"chr1_100459093_100483371_+","SLC35A3",""
"chr1_100515465_100535241_+","MFSD14A",""
"chr1_100602438_100609699_+","TRMT13",""
"chr1_100617941_100634150_-","LRRC39",""
"chr1_100617941_100638926_-","LRRC39",""
"chr1_100849022_100908552_+","CDC14A",""
"chr1_100856288_100908552_+","CDC14A",""
"chr1_100889778_100908552_+","CDC14A",""
"chr1_101372408_101387397_+","SLC30A7",""
"chr1_101372408_101440458_+","SLC30A7",""
"chr1_101379219_101440458_+","SLC30A7",""
"chr1_10155519_10165802_+","UBE4B",""
"chr1_10195046_10197263_+","UBE4B",""
"chr1_10204998_10211619_+","UBE4B",""
"chr1_10204998_10221344_+","UBE4B",""
"chr1_10207021_10221344_+","UBE4B",""
"chr1_10209242_10221344_+","UBE4B",""
"chr1_10292308_10338186_+","KIF1B",""
"chr1_103444938_103455127_-","COL11A1",""
"chr1_104070317_104095939_+","RNPC3",""
"chr1_104070317_104095954_+","RNPC3",""
"chr1_104077396_104094414_+","RNPC3",""
"chr1_10407819_10408791_+","KIF1B",""
"chr1_104108057_104118162_+","AMY2B",""
"chr1_104108057_104164515_+","",""
"chr1_104108057_104258640_+","",""
"chr1_10493899_10502498_+","CENPS-CORT",""
"chr1_10500404_10502498_+","CENPS-CORT",""
"chr1_107866904_107867544_+","NTNG1",""
"chr1_108226110_108247683_-","VAV3",""
"chr1_108690901_108703915_-","SLC25A24",""
"chr1_108697605_108728576_-","SLC25A24",""
"chr1_109192833_109200201_-","HENMT1",""
"chr1_109294879_109302707_+","STXBP3",""
"chr1_109427897_109446876_+","GPSM2",""
"chr1_109428129_109472597_+","GPSM2",""
"chr1_109439486_109446876_+","GPSM2",""
"chr1_109714488_109716459_+","KIAA1324",""
"chr1_110765586_110768800_+","KCNC4",""
"chr1_111690264_111703918_+","CEPT1",""
"chr1_11184555_11193254_-","MTOR",""
"chr1_112269989_112270426_-","INKA2",""
"chr1_112524243_112525420_-","KCND3",""
"chr1_113093223_113126748_-","ST7L",""
"chr1_113098490_113140708_-","ST7L",""
"chr1_113098490_113153625_-","ST7L",""
"chr1_113098490_113159517_-","ST7L",""
"chr1_113119608_113126748_-","ST7L",""
"chr1_113119608_113140708_-","ST7L",""
"chr1_113119608_113153625_-","ST7L",""
"chr1_113119608_113159517_-","ST7L",""
"chr1_113124614_113140708_-","ST7L",""
"chr1_113124614_113159517_-","ST7L",""
"chr1_113134147_113153625_-","ST7L",""
"chr1_113134147_113159517_-","ST7L",""
"chr1_113196220_113202401_+","CAPZA1",""
"chr1_113196220_113209767_+","CAPZA1",""
"chr1_113635828_113637377_+","LRIG2",""
"chr1_113655101_113662145_+","LRIG2",""
"chr1_114128009_114137182_+","MAGI3",""
"chr1_114214356_114216087_+","MAGI3",""
"chr1_114240884_114249344_-","PHTF1",""
"chr1_114246703_114249344_-","PHTF1",""
"chr1_114248512_114254735_-","PHTF1",""
"chr1_114280732_114281421_-","PHTF1",""
"chr1_114338808_114340658_-","RSBN1",""
"chr1_114339985_114340658_-","RSBN1",""
"chr1_114440462_114444507_-","AP4B1",""
"chr1_114942079_114949722_-","TRIM33",""
"chr1_115005726_115007010_-","TRIM33",""
"chr1_1158624_1159348_-","SDF4",""
"chr1_117944808_117957453_+","MAN1A2",""
"chr1_117944808_117963271_+","MAN1A2",""
"chr1_117944808_117984947_+","MAN1A2",""
"chr1_117944808_118009049_+","MAN1A2",""
"chr1_118003111_118045592_+","MAN1A2",""
"chr1_118003111_118065559_+","MAN1A2",""
"chr1_118035769_118045592_+","MAN1A2",""
"chr1_118413018_118463047_-","GDAP2",""
"chr1_118413069_118463047_-","GDAP2",""
"chr1_118420631_118463047_-","GDAP2",""
"chr1_118424445_118463047_-","GDAP2",""
"chr1_118439455_118463047_-","GDAP2",""
"chr1_118449128_118461358_-","GDAP2",""
"chr1_118454616_118461358_-","GDAP2",""
"chr1_120001756_120005690_-","",""
"chr1_120068479_120070615_-","",""
"chr1_120129944_120131140_-","",""
"chr1_12061458_12062160_+","MFN2",""
"chr1_12335882_12338095_+","VPS13D",""
"chr1_12359259_12368698_+","VPS13D",""
"chr1_12460238_12476880_+","VPS13D",""
"chr1_14042036_14068652_+","PRDM2",""
"chr1_14042036_14075982_+","PRDM2",""
"chr1_14042036_14099683_+","PRDM2",""
"chr1_14057495_14068652_+","PRDM2",""
"chr1_14057495_14075982_+","PRDM2",""
"chr1_14095534_14099683_+","PRDM2",""
"chr1_14095534_14109326_+","PRDM2",""
"chr1_14099573_14109326_+","PRDM2",""
"chr1_144994591_145021167_-","PDE4DIP",""
"chr1_145566686_145568476_+","ANKRD35",""
"chr1_145592633_145595220_-","POLR3C",""
"chr1_145594039_145595220_-","POLR3C",""
"chr1_145646115_145663367_+","",""
"chr1_14608666_14611276_+","",""
"chr1_146724278_146728216_+","CHD1L",""
"chr1_146724278_146731572_+","CHD1L",""
"chr1_146737591_146740537_+","CHD1L",""
"chr1_146747017_146757164_+","CHD1L",""
"chr1_147120048_147131890_-","ACP6",""
"chr1_147743964_147747505_-","",""
"chr1_147805339_147808043_-","",""
"chr1_149239868_149255307_+","",""
"chr1_149931603_149936274_-","",""
"chr1_149936147_149937803_-","",""
"chr1_150390072_150418877_+","RPRD2",""
"chr1_150413399_150418877_+","RPRD2",""
"chr1_150464887_150469384_+","TARS2",""
"chr1_150790396_150799093_-","ARNT",""
"chr1_150799019_150807116_-","ARNT",""
"chr1_150900180_150913904_+","SETDB1",""
"chr1_150933039_150934634_+","SETDB1",""
"chr1_150997087_150998149_+","PRUNE1",""
"chr1_150997087_150999803_+","PRUNE1",""
"chr1_151060666_151079698_+","GABPB2",""
