"","chr","hg38.start","hg38.end","hg19.coord","score","strand","hg38.coord","hg38.id","DS.gok","DS.liu","DS.sy5y","DS.esc","DS.org","nDS","DB.atlas","DB.pedia","DB.base","DB.fun","nDB", "reason.excluded"
"1","chr1",633976,634095,"chr1_569356_569475_+",0,"+","chr1_633976_634095_+","chr1_633976_634095_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP5-857K21.10"
"2","chr1",633999,634465,"chr1_569379_569845_-",0,"-","chr1_633999_634465_-","chr1_633999_634465_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"3","chr1",805799,810170,"chr1_741179_745550_-",0,"-","chr1_805799_810170_-","chr1_805799_810170_","TRUE","TRUE","FALSE","FALSE","FALSE",2,"TRUE","TRUE","FALSE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"4","chr1",7835762,7837149,"chr1_7895822_7897209_-",0,"-","chr1_7835762_7837149_-","chr1_7835762_7837149_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"5","chr1",8541214,8656441,"chr1_8601273_8716500_+",0,"+","chr1_8541214_8656441_+","chr1_8541214_8656441_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"6","chr1",8614561,8656441,"chr1_8674620_8716500_+",0,"+","chr1_8614561_8656441_+","chr1_8614561_8656441_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"7","chr1",12275825,12278038,"chr1_12335882_12338095_-",0,"-","chr1_12275825_12278038_-","chr1_12275825_12278038_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"8","chr1",13778418,13782831,"chr1_14104913_14109326_-",0,"-","chr1_13778418_13782831_-","chr1_13778418_13782831_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP5-1177E19.2"
"9","chr1",14282171,14284781,"chr1_14608666_14611276_+",0,"+","chr1_14282171_14284781_+","chr1_14282171_14284781_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"10","chr1",20749723,20773610,"chr1_21076216_21100103_+",0,"+","chr1_20749723_20773610_+","chr1_20749723_20773610_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"11","chr1",20770930,20773610,"chr1_21097423_21100103_+",0,"+","chr1_20770930_20773610_+","chr1_20770930_20773610_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"12","chr1",20893517,20942330,"chr1_21220010_21268823_+",0,"+","chr1_20893517_20942330_+","chr1_20893517_20942330_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"13","chr1",20893517,21050994,"chr1_21220010_21377487_+",0,"+","chr1_20893517_21050994_+","chr1_20893517_21050994_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"14","chr1",20904883,20942330,"chr1_21231376_21268823_+",0,"+","chr1_20904883_20942330_+","chr1_20904883_20942330_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"15","chr1",20950003,21050994,"chr1_21276496_21377487_+",0,"+","chr1_20950003_21050994_+","chr1_20950003_21050994_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"16","chr1",20969474,21002808,"chr1_21295967_21329301_+",0,"+","chr1_20969474_21002808_+","chr1_20969474_21002808_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
