"","Id","Gene","SRR5817025_2242-1_Hepa_Day_96","SRR5817026_2242-1_Hepa_Day_102","SRR5817027_2242-1_Hepa_Day_120","SRR5817028_2242-1_Hepa_Day_137","SRR5817029_2242-1_Hepa_Day_172","SRR5817030_2242-1_Hepa_Day_193","SRR5817031_2242-1_Hepa_Day_224","SRR5817032_2242-1_Hepa_Day_295","SRR5817033_2242-1_Hepa_Day_377","SRR5817034_2242-1_Hepa_Day_450","SRR5817035_2242-1_Hepa_Day_495","SRR5817036_8858-1_Hepa_Day_180","SRR5817037_8858-3_Hepa_Day_100","SRR5817038_8858-3_Hepa_Day_130","SRR5817039_8858-1_Thy1_Day_82","SRR5817040_8858-1_Thy1_Day_93","SRR5817041_8858-1_Thy1_Day_100","SRR5817042_8858-1_Thy1_Day_450","SRR5817043_2242-1_Thy1_Day_100","SRR5817044_2242-1_Thy1_Day_160","SRR5817045_2242-1_Thy1_Day_160b","SRR5817046_2242-1_Thy1_Day_250"
"chr1_100617941_100638926_-","chr1_100617941_100638926","LRRC39",0,0,0,0,0,0,0,0,0.0293665704177321,0,0,0,0,0,0,0.028011126803878,0,0.0301490390611855,0.14160737015383,0,0,0
"chr1_100676250_100706440_+","chr1_100676250_100706440","BRI3P1",0.0212926195734961,0,0.0354790960536566,0,0,0,0,0,0,0,0.0278944486337257,0,0,0,0,0,0,0,0,0,0,0
"chr1_10292308_10338186_+","chr1_10292308_10338186","KIF1B",0,0,0,0.0274455885717447,0,0.0262985002859436,0,0,0,0,0.0557888972674514,0,0,0,0,0,0,0,0,0,0,0.102647220492902
"chr1_103400005_103484415_+","chr1_103400005_103484415","not_annotated",0,0,0,0,0,0,0,0,0.0587331408354642,0,0,0,0,0,0,0,0,0,0,0,0.0614305837628585,0
"chr1_103487263_103496800_+","chr1_103487263_103496800","not_annotated",0.0425852391469921,0.184341999757682,0.0177395480268283,0.0274455885717447,0.0222228735993395,0.262985002859436,0,0.0225327825510098,0.0293665704177321,0,0,0.0857482653018744,0,0,0,0,0,0,0.0472024567179433,0,0.0921458756442878,0
"chr1_10351140_10357304_+","chr1_10351140_10357304","KIF1B",0,0.0230427499697103,0.0354790960536566,0,0,0.0262985002859436,0.119870505092054,0,0,0,0,0,0,0,0,0,0,0,0.0944049134358866,0,0,0
"chr1_104070317_104093695_+","chr1_104070317_104093695","RNPC3",0.0212926195734961,0,0.141916384214626,0,0.200005862394056,0,0,0,0.0293665704177321,0,0.0836833459011772,0.257244795905623,0,0,0,0,0,0,0.0472024567179433,0.167643834638133,0.122861167525717,0
"chr1_104070317_104095939_-","chr1_104070317_104095939","not_annotated",0.0425852391469921,0.161299249787972,0.141916384214626,0.0274455885717447,0.88891494397358,0,0,0.0225327825510098,0,0.0944413074190163,0.0557888972674514,0.0428741326509372,0.148753055201813,0,0.215997684936813,0.0840333804116341,0,0.120596156244742,0.0472024567179433,0.838219173190666,0.675736421391444,0.205294440985803
"chr1_104070317_104095954_+","chr1_104070317_104095954","RNPC3",0,0.0691282499091309,0.0354790960536566,0,0.133337241596037,0,0,0,0,0,0,0.0428741326509372,0,0,0,0.0840333804116341,0,0.0301490390611855,0,0,0.0921458756442878,0
"chr1_107690691_107691461_+","chr1_107690691_107691461","NTNG1",0,0,0,0,0,0,0,0.0225327825510098,0,0,0,0,0,0,0,0.168066760823268,0,0,0,0,0,0
