"","Id","Gene symbol","FBN","H9_ESC"
"chr1_100327059_100327979_+","chr1_100327059_100327979","AGL",0.0117184587779893,0
"chr1_100335956_100343384_+","chr1_100335956_100343384","AGL",0.0234369175559785,0
"chr1_100515465_100535241_+","chr1_100515465_100535241","HIAT1",0,0.0123917999147618
"chr1_100525434_100527505_+","chr1_100525434_100527505","HIAT1",0.0117184587779893,0
"chr1_100533533_100534142_+","chr1_100533533_100534142","HIAT1",0.0117184587779893,0
"chr1_100568511_100588845_-","chr1_100568511_100588845","SASS6",0.0117184587779893,0
"chr1_100617941_100634150_-","chr1_100617941_100634150","LRRC39",0.0117184587779893,0
"chr1_100889778_100908552_+","chr1_100889778_100908552","CDC14A",0.0703107526679357,0
"chr1_100905488_100950007_+","chr1_100905488_100950007","CDC14A",0.0117184587779893,0
"chr1_101372408_101387397_+","chr1_101372408_101387397","SLC30A7",0.117184587779893,0.0123917999147618
"chr1_101376619_101387397_+","chr1_101376619_101387397","SLC30A7",0,0.0123917999147618
"chr1_10155519_10165802_+","chr1_10155519_10165802","UBE4B",0.0351553763339678,0
"chr1_10155519_10182134_+","chr1_10155519_10182134","UBE4B",0.0117184587779893,0
"chr1_10177517_10179671_+","chr1_10177517_10179671","UBE4B",0.0117184587779893,0
"chr1_10186852_10190871_+","chr1_10186852_10190871","UBE4B",0,0.0123917999147618
"chr1_10190558_10190871_+","chr1_10190558_10190871","UBE4B",0,0.0123917999147618
"chr1_10204998_10211619_+","chr1_10204998_10211619","UBE4B",0.0117184587779893,0
"chr1_10209242_10221344_+","chr1_10209242_10221344","UBE4B",0.0117184587779893,0
"chr1_10292308_10332364_+","chr1_10292308_10332364","KIF1B",0.0117184587779893,0
"chr1_10292308_10338186_+","chr1_10292308_10338186","KIF1B",0.0117184587779893,0
"chr1_10292308_10342591_+","chr1_10292308_10342591","KIF1B",0.0117184587779893,0
"chr1_10292308_10357304_+","chr1_10292308_10357304","KIF1B",0.0117184587779893,0
"chr1_10292308_10412794_+","chr1_10292308_10412794","KIF1B",0.0117184587779893,0
"chr1_10318551_10342591_+","chr1_10318551_10342591","KIF1B",0.0117184587779893,0
"chr1_10321963_10328321_+","chr1_10321963_10328321","KIF1B",0.0351553763339678,0
"chr1_10321963_10332364_+","chr1_10321963_10332364","KIF1B",0.0117184587779893,0
"chr1_10321963_10408791_+","chr1_10321963_10408791","KIF1B",0.0117184587779893,0
"chr1_10327438_10328321_+","chr1_10327438_10328321","KIF1B",0.0234369175559785,0
"chr1_10331560_10335561_+","chr1_10331560_10335561","KIF1B",0.0351553763339678,0
"chr1_10335486_10338186_+","chr1_10335486_10338186","KIF1B",0.0117184587779893,0
"chr1_10352105_10357304_+","chr1_10352105_10357304","KIF1B",0.0117184587779893,0
"chr1_103540174_103548528_-","chr1_103540174_103548528","COL11A1",0.0117184587779893,0
"chr1_10380101_10384953_+","chr1_10380101_10384953","KIF1B",0.0234369175559785,0
"chr1_104070317_104093695_+","chr1_104070317_104093695","RNPC3",0.0117184587779893,0
"chr1_10407819_10408791_+","chr1_10407819_10408791","KIF1B",0.0820292114459249,0
"chr1_104108057_104118162_+","chr1_104108057_104118162","AMY2B",0.0820292114459249,0
"chr1_10423341_10435431_+","chr1_10423341_10435431","KIF1B",0.0234369175559785,0
"chr1_10425158_10425706_+","chr1_10425158_10425706","KIF1B",0.0351553763339678,0
"chr1_10463128_10464336_+","chr1_10463128_10464336","PGD",0,0.0123917999147618
"chr1_10463128_10473308_+","chr1_10463128_10473308","PGD",0.0234369175559785,0
"chr1_10500404_10502498_+","chr1_10500404_10502498","APITD1-CORT",0.0703107526679357,0
"chr1_10527247_10529395_-","chr1_10527247_10529395","DFFA",0.0117184587779893,0
"chr1_107866904_107867544_+","chr1_107866904_107867544","NTNG1",0,0.0247835998295235
"chr1_108690901_108703915_-","chr1_108690901_108703915","SLC25A24",0.0117184587779893,0.0247835998295235
"chr1_108697605_108703915_-","chr1_108697605_108703915","SLC25A24",0.0117184587779893,0
"chr1_108697605_108728576_-","chr1_108697605_108728576","SLC25A24",0.0117184587779893,0
"chr1_108724563_108728576_-","chr1_108724563_108728576","SLC25A24",0.0117184587779893,0
"chr1_109294879_109302707_+","chr1_109294879_109302707","STXBP3",0.0234369175559785,0
"chr1_109336204_109342927_+","chr1_109336204_109342927","STXBP3",0.0117184587779893,0
"chr1_109427897_109446876_+","chr1_109427897_109446876","GPSM2",0.0234369175559785,0
"chr1_109439486_109446876_+","chr1_109439486_109446876","GPSM2",0.0234369175559785,0
"chr1_109444412_109461411_+","chr1_109444412_109461411","GPSM2",0,0.0123917999147618
"chr1_109482258_109486679_-","chr1_109482258_109486679","CLCC1",0,0.0123917999147618
"chr1_109524355_109533951_-","chr1_109524355_109533951","WDR47",0.0117184587779893,0
"chr1_109524355_109554340_-","chr1_109524355_109554340","WDR47",0,0.0123917999147618
"chr1_109525231_109529302_-","chr1_109525231_109529302","WDR47",0.0117184587779893,0
"chr1_109525231_109547337_-","chr1_109525231_109547337","WDR47",0.0117184587779893,0
"chr1_109525231_109554340_-","chr1_109525231_109554340","WDR47",0.0234369175559785,0
"chr1_109533876_109554340_-","chr1_109533876_109554340","WDR47",0.0117184587779893,0
"chr1_109544846_109547337_-","chr1_109544846_109547337","WDR47",0.0234369175559785,0
"chr1_109547214_109554340_-","chr1_109547214_109554340","WDR47",0.0117184587779893,0
"chr1_109773500_109774408_+","chr1_109773500_109774408","SARS",0.0117184587779893,0
"chr1_109859472_109860591_-","chr1_109859472_109860591","SORT1",0.0117184587779893,0
"chr1_109869614_109888503_-","chr1_109869614_109888503","SORT1",0.0117184587779893,0
"chr1_109878862_109888500_-","chr1_109878862_109888500","SORT1",0.0117184587779893,0
"chr1_109910030_109912211_-","chr1_109910030_109912211","SORT1",0.0117184587779893,0
"chr1_109952550_109953735_-","chr1_109952550_109953735","PSMA5",0.0234369175559785,0
"chr1_109952550_109957985_-","chr1_109952550_109957985","PSMA5",0,0.0247835998295235
"chr1_11130957_11137005_-","chr1_11130957_11137005","EXOSC10",0.0468738351119571,0
"chr1_11133991_11134383_-","chr1_11133991_11134383","EXOSC10",0.0351553763339678,0
"chr1_11181303_11182183_-","chr1_11181303_11182183","MTOR",0,0.0123917999147618
"chr1_11181303_11193254_-","chr1_11181303_11193254","MTOR",0.0117184587779893,0
"chr1_11184555_11193254_-","chr1_11184555_11193254","MTOR",0.0117184587779893,0
"chr1_111996833_111996978_+","chr1_111996833_111996978","ATP5F1",0.0117184587779893,0
"chr1_111998708_111999377_+","chr1_111998708_111999377","ATP5F1",0.0117184587779893,0
"chr1_111998708_112002258_+","chr1_111998708_112002258","ATP5F1",0.0117184587779893,0
"chr1_11204705_11206848_-","chr1_11204705_11206848","MTOR",0.0117184587779893,0
